"Time (s) Run #1";"Period (s) Run #1";"Time (s) Run #2";"Period (s) Run #2";"Time (s) Run #3";"Period (s) Run #3";"Time (s) Run #4";"Period (s) Run #4";"Time (s) Run #5";"Period (s) Run #5"
257,572;1,4966;258,060;1,4982;258,243;1,4986;258,914;1,4996;;
259,068;1,4963;;;259,742;1,4988;260,414;1,4996;;
260,565;1,4965;;;;;261,913;1,4995;;
262,061;1,4965;;;;;263,413;1,4995;;
263,558;1,4969;;;;;264,912;1,4995;;
265,054;1,4962;;;;;266,412;1,4995;;
266,550;1,4960;;;;;267,911;1,4995;;
268,047;1,4967;;;;;269,411;1,4995;;
269,543;1,4962;;;;;270,910;1,4994;;
271,040;1,4964;;;;;272,409;1,4995;;
272,536;1,4963;;;;;273,909;1,4994;;
274,032;1,4964;;;;;;;;
275,529;1,4971;;;;;;;;
277,026;1,4965;;;;;;;;
278,522;1,4962;;;;;;;;
280,019;1,4965;;;;;;;;
281,515;1,4963;;;;;;;;
283,011;1,4964;;;;;;;;
284,507;1,4962;;;;;;;;
286,004;1,4962;;;;;;;;
287,500;1,4964;;;;;;;;
288,996;1,4961;;;;;;;;
290,492;1,4963;;;;;;;;
291,989;1,4961;;;;;;;;
293,485;1,4964;;;;;;;;
294,981;1,4960;;;;;;;;
296,477;1,4963;;;;;;;;
297,973;1,4961;;;;;;;;
299,470;1,4963;;;;;;;;
300,966;1,4960;;;;;;;;
302,462;1,4962;;;;;;;;
303,958;1,4961;;;;;;;;
305,454;1,4960;;;;;;;;
306,950;1,4962;;;;;;;;
308,446;1,4959;;;;;;;;
309,942;1,4961;;;;;;;;
311,438;1,4958;;;;;;;;
312,934;1,4961;;;;;;;;
